PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2015,C/2015 SOHO-2874 ,M.Uchina ,C3 ,
2015,C/2015 SOHO-2940 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-2957 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-2969 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-2971 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-2989 ,M.Uchina ,C3 ,
2015,C/2015 SOHO-3015 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3016 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3020 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3040 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3047 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3056 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3058 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3060 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3068 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3073 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3080 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3083 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3084 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2674 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2663 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2677 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2686 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2687 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2696 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2718 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2724 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2726 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2727 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2731 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2742 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2748 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2758 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2760 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2768 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2771 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2789 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2791 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2810 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2812 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2814 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2828 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2839 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2848 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2853 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2441 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2471 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2472 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2473 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2478 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2480 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2481 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2482 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2492 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2493 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2496 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2504 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2526 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2527 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2529 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2530 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2536 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2541 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2542 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2543 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2544 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2551 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2572 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2591 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2593 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2596 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2598 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2601 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2607 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2613 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2652 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2653 ,M.Uchina ,C2 ,
-2012,C/2012 SOHO-2234,M.Uchina,C3,  
-2012,C/2012 SOHO-2241,M.Uchina,C3,  
-2012,C/2012 SOHO-2276,M.Uchina,C2,  
-2012,C/2012 SOHO-2286,M.Uchina,C2,  
-2012,C/2012 SOHO-2289,M.Uchina,C2,  
-2012,C/2012 SOHO-2315,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2374,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2380,M.Uchina,C2,  
-2012,C/2012 SOHO-2381,M.Uchina,C2,  
-2012,C/2012 SOHO-2392,M.Uchina,C2,  
-2012,C/2012 SOHO-2393,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2402,M.Uchina,C2,  
-2012,C/2012 SOHO-2405,M.Uchina,C2,  
-2012,C/2012 SOHO-2412,M.Uchina,C2,  
-2012,C/2012 SOHO-2416,M.Uchina,C2,  
-2012,C/2012 SOHO-XC85,M.Uchina,C2,  
-2012,C/2012 SOHO-2418,M.Uchina,C2,  
-2012,C/2012 SOHO-2419,M.Uchina,C2,  
-2012,C/2012 SOHO-2420,M.Uchina,C2,  
-2012,C/2012 SOHO-2429,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2431,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2437,M.Uchina,C2 C3,
-2012,C/2012 SOHO-2229,M.Uchina/S.Schmalz,C3,  
-2011,C/2011 SOHO-2006,M.Uchina,C3,  
-2011,C/2011 SOHO-2010,M.Uchina,C3,  
-2011,C/2011 SOHO-2011,M.Uchina,C3,  
-2011,C/2011 SOHO-2023,M.Uchina,C3,  
-2011,C/2011 SOHO-2025,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2039,M.Uchina,C3/C2,  
-2011,C/2011 SOHO-2041,M.Uchina,C2,  
-2011,C/2011 SOHO-2052,M.Uchina,C2,  
-2011,C/2011 SOHO-2061,M.Uchina,C2,  
-2011,C/2011 SOHO-2065,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2085,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2089,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2097,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2103,M.Uchina,C2,  
-2011,C/2011 SOHO-2107*,M.Uchina,C3/C2,  
-2011,C/2011 SOHO-2120,M.Uchina,C3,  
-2011,C/2011 SOHO-2130,M.Uchina,C3,  
-2011,C/2011 SOHO-2156,M.Uchina,C2,  
-2011,C/2011 SOHO-2185,M.Uchina,C2,  
-2010,C/2010 SOHO-1784,M.Uchina,C3,  
-2010,C/2010 SOHO-1787,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1789,M.Uchina,C3,  
-2010,C/2010 SOHO-1799,M.Uchina,C3,  
-2010,C/2010 SOHO-1800,M.Uchina,C3,  
-2010,C/2010 SOHO-1810,M.Uchina,C3,  
-2010,C/2010 SOHO-1849,M.Uchina,C2,  
-2010,C/2010 SOHO-1853,M.Uchina,C2,  
-2010,C/2010 SOHO-1858,M.Uchina,C2,  
-2010,C/2010 SOHO-1860,M.Uchina,C2,  
-2010,C/2010 SOHO-1863,M.Uchina,C2,  
-2010,C/2010 SOHO-1866,M.Uchina,C2,  
-2010,C/2010 SOHO-1867,M.Uchina,C2,  
-2010,C/2010 SOHO-1872,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1883,M.Uchina,C2,  
-2010,C/2010 SOHO-1886,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1892,M.Uchina,C2,  
-2010,C/2010 SOHO-1924,M.Uchina,C2,  
-2010,C/2010 SOHO-1926,M.Uchina,C2,  
-2010,C/2010 SOHO-1931,M.Uchina,C2,  
-2010,C/2010 SOHO-1937,M.Uchina,C2,  
-2010,C/2010 SOHO-1946,M.Uchina,C2,  
-2010,C/2010 SOHO-1948,M.Uchina,C2,  
-2010,C/2010 SOHO-1950,M.Uchina,C2,  
-2010,C/2010 SOHO-1951,M.Uchina,C2,  
-2010,C/2010 SOHO-1953,M.Uchina,C2,  
-2010,C/2010 SOHO-1963,M.Uchina,C2,  
-2010,C/2010 SOHO-1968,M.Uchina,C2,  
-2010,C/2010 SOHO-1970,M.Uchina,C2,  
-2010,C/2010 SOHO-1972,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1977,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1980,M.Uchina,C2 C3,  
-2010,C/2010 SOHO-1986,M.Uchina,C2,  
-2010,C/2010 SOHO-1989,M.Uchina,C3,  
-2010,C/2010 SOHO-1996,M.Uchina,C3,  
-2010,C/2010 SOHO-2001,M.Uchina,C2,  
-2009,C/2009 SOHO-1771,M.Uchina,C2 C3,  
-2009,C/2009 SOHO-1780,M.Uchina,C3,
2009-12-14.62,C/2009 X16 SOHO-1763,M.Uchina,C2 C3,0.0051
2009-12-10.65,C/2009 X13 SOHO-1760,M.Uchina,C2 C3,0.0055
2009-12-09.23,C/2009 X12 SOHO-1759,M.Uchina,C2 C3,0.0052
2009-12-04.43,C/2009 X05 SOHO-1752,M.Uchina,C2,0.0082
2009-11-29.76,C/2009 W15 SOHO-1746,M.Uchina,C2,0.0049
2009-11-05.594,C/2009 V1 SOHO-1748,M.Uchina,C3,0.00518
2009-09-28.68,C/2009 S10 SOHO-1701,M.Uchina,C2 C3,0.0051
2009-08-31.80,C/2009 Q08 SOHO-1692,M.Uchina,C3,0.0051
2009-06-26.02,C/2009 M06 SOHO-1680,M.Uchina,C2,0.0053
2009-06-15.86,C/2009 L17 SOHO-1674,M.Uchina,C2 C3,0.0083
2009-06-09.29,C/2009 L12 SOHO-1671,M.Uchina,C2,0.0079
2009-05-29.97,C/2009 K11 SOHO-1656,M.Uchina,C2 C3,0.0071
2009-05-28.36,C/2009 K10 SOHO-1655,M.Uchina,C2,0.0050
2009-05-27.82,C/2009 K09 SOHO-1654,M.Uchina,C2 C3,0.0051
2009-05-05.36,C/2009 J04 SOHO-1642,M.Uchina,C2,0.0066
2009-05-03.42,C/2009 J01 SOHO-1639,M.Uchina,C2,0.0051
2009-03-30.38,C/2009 F10 SOHO-1624,M.Uchina,C2,0.0054
2009-03-17.57,C/2009 F08 SOHO-1622,M.Uchina,C2 C3,0.0083
2009-02-27.557,C/2009 D07 SOHO-1617,M.Uchina,C2 C3,0.00565
2008-12-22.22,C/2008 Y07 SOHO-1589,M.Uchina,C2 C3,0.0052
2008-12-22.17,C/2008 Y06 SOHO-1588,M.Uchina,C2 C3,0.0051
2008-12-09.97,C/2008 X12 SOHO-1583,M.Uchina,C2 C3,0.0053
2008-12-01.72,C/2008 X07 SOHO-1576,M.Uchina,C2,0.0053
2008-06-12.71,C/2008 L10 SOHO-1490,M.Uchina,C2 C3,0.0052
2008-04-10.37,C/2008 G05 SOHO-1453,M.Uchina,C2,0.0048
2007-10-31.53,C/2007 U13 SOHO-1384,M.Uchina,C2 C3 HI1B,0.0050
2007-10-24.98,C/2007 U05 SOHO-1376,M.Uchina,C2 C3,0.0050
2007-10-15.81,C/2007 T14 SOHO-1373,M.Uchina,C2,0.0051
2007-09-24.31,C/2007 S04 SOHO-1358,M.Uchina,C2 C3 HI1B,0.0050
2007-02-02.47,C/2007 C03 SOHO-1260,M.Uchina,C2 C3 HI1A COR2A,0.0049
